번호,사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,상세코드,위도,경도,COL1,COL2
475,연천미라클타운,경기도 연천군 군남면 옥계리 1259,경기도 연천군 군남면 군중로 134,11005,sea,easycamping,kids,3,310,38.1311734,127.0453179,,
476,스타빌,제주특별자치도 서귀포시 안덕면 광평리 산 31-1,제주특별자치도 서귀포시 안덕면 광평로 34-154,63524,mountain,camping,family,18,1802,33.3390637,126.3953082,,
477,더설렘,경기도 포천시 일동면 수입리 202,경기도 포천시 일동면 윗갈기1길 60,11115,river,glamping,couple,3,302,37.966479,127.3190281,,
478,승암159캠핑장,충청북도 괴산군 청천면 고성리 159,충청북도 괴산군 청천면 후평도원로 484,28061,sea,easycamping,kids,8,801,36.6621486,127.7834563,,
479,탄금호 야영장,충청북도 충주시 금가면 오석리 515-3,충청북도 충주시 금가면 오미기2길 62-1,27445,lake,caravan,pet,8,810,37.0019959,127.8801888,,
480,MOONWALK 카라반캠핑장,경상남도 합천군 대병면 회양리 893-8,경상남도 합천군 대병면 신성동1길 19,50216,mountain,camping,family,17,1718,35.5210494,128.0158108,,
481,고창군 선운산 국민여가캠핑장,전라북도 고창군 아산면 삼인리 347,전라북도 고창군 아산면 선운사로 158-62,56452,river,glamping,couple,9,902,35.5024227,126.5827999,,
482,양평숲 비룡캠프장,경기도 양평군 청운면 가현리 385-2,경기도 양평군 청운면 목내미길 83-215,12530,lake,caravan,pet,3,304,37.5234398,127.7133895,,
483,섬진강권역 거북이야영 캠핑장,전라북도 순창군 동계면 구미리 743-1,전라북도 순창군 동계면 장군목길 352,56026,mountain,camping,family,9,907,35.4467367,127.2066831,,
484,에코밸리 캠핑장,경상북도 경주시 산내면 대현리 2394,경상북도 경주시 산내면 문복로 506-16,38187,sea,easycamping,kids,16,1602,35.679292,129.0511532,,
485,계곡 좋은 펜션 야영장,경상남도 하동군 청암면 묵계리 1376,경상남도 하동군 청암면 아래몰길 24-10,52309,mountain,camping,family,17,1715,35.2357042,127.7197745,,
486,청평사 국민여가 캠핑장,강원도 춘천시 북산면 청평리 668-11,강원도 춘천시 북산면 오봉산길 630,24208,river,glamping,couple,4,412,37.9829341,127.8178527,,
487,대둔산캠핑펜션오토캠핑장,전라북도 완주군 운주면 산북리 417-6,전라북도 완주군 운주면 대둔산로 2100-25,55300,sea,easycamping,kids,9,908,36.1079979,127.3375413,,
488,산으로 간 낚시꾼 캠핑장,경상남도 사천시 실안동 962,경상남도 사천시 해안관광로 68-20 (실안동),52554,lake,caravan,pet,17,1707,34.9480617,128.0414714,,
489,거북선마을 캠핑장,경상남도 사천시 용현면 주문리 733,경상남도 사천시 용현면 사천대교로 75-61,52540,mountain,camping,family,17,1707,34.9984125,128.0406182,,
490,몽산포감성캠핑장,충청남도 태안군 남면 신장리 355-61,충청남도 태안군 남면 몽산포길 65-5,32153,river,glamping,couple,7,702,36.6718875,126.2899523,,
491,꽃길글램핑,경상남도 산청군 금서면 지막리 915,경상남도 산청군 금서면 왕등재로 160,52230,sea,easycamping,kids,17,1708,35.3971461,127.8237998,,
492,네잎클로버 캠핑장,경기도 가평군 설악면 설곡리 777,경기도 가평군 설악면 장수로 156-20,12471,lake,caravan,pet,3,301,37.6171772,127.5097259,,
493,달무리 캠핑장,경기도 가평군 조종면 마일리 319,경기도 가평군 조종면 연인산로 595-1,12433,mountain,camping,family,3,301,37.8554406,127.3844121,,
494,범바위캠핑정원,경기도 김포시 대곶면 율생리 184-1,경기도 김포시 대곶면 종생로 154,10044,river,glamping,couple,3,316,37.6422992,126.6005676,,
495,운악산진우네캠핑장,경기도 포천시 화현면 화현리 1131-6,경기도 포천시 화현면 화동로 218-18,11123,sea,easycamping,kids,3,302,37.8873043,127.3037632,,
496,낭추골캠핑장,충청북도 청주시 상당구 낭성면 추정리 186,충청북도 청주시 상당구 낭성면 단재로 1890,28194,mountain,camping,family,8,809,36.598121,127.6180379,,
497,WAVE 글램핑,경상북도 포항시 남구 구룡포읍 석병리 19-2,경상북도 포항시 남구 구룡포읍 일출로 465,37930,river,glamping,couple,16,1621,36.0313202,129.577901,,
498,프로미스,경기도 포천시 이동면 장암리 716-153,경기도 포천시 이동면 여우고개로242번길 21-27,11111,mountain,camping,family,3,302,38.0691988,127.3533102,,
499,섬진강별빛야영장,전라남도 광양시 진월면 오사리 135-193,전라남도 광양시 진월면 사평1길 23,57711,river,glamping,couple,11,1104,35.0119275,127.7814719,,
500,편안캠핑장,경상북도 경주시 산내면 외칠리 3,경상북도 경주시 산내면 단석로 655-10,38184,sea,easycamping,kids,16,1602,35.7585407,129.0408383,,
501,연종 캠핑장,충청남도 공주시 유구읍 연종리 130-1,충청남도 공주시 유구읍 구계연종길 473,32501,mountain,camping,family,7,701,36.6004269,127.00254,,
502,블루아라한시캠핑장,전라북도 고창군 상하면 자룡리 529-27,전라북도 고창군 상하면 진암구시포로 539-14,56408,river,glamping,couple,9,901,35.4443698,126.4357306,,
503,살롱드 캠핑,경기도 양평군 양동면 쌍학리 357 양동초등학교,경기도 양평군 양동면 활거리길 16-19,12539,sea,easycamping,kids,3,304,37.407741,127.7480848,,
504,엣더몬,경기도 가평군 상면 원흥리 515-2,경기도 가평군 상면 원흥길 52-127,12442,lake,caravan,pet,3,301,37.821251,127.324042,,
505,노마드 캠프,경기도 남양주시 일패동 산 61-17,경기도 남양주시 경춘로611번길 11-44 (일패동),12243,mountain,camping,family,3,305,37.6179603,127.1763309,,
506,서리실 힐링 가족캠핑장,충청남도 천안시 동남구 광덕면 지장리 11-1,충청남도 천안시 동남구 광덕면 서리실길 147,31219,river,glamping,couple,7,712,36.6703212,127.0875036,,
507,가산산성마을 캠핑장,경상북도 칠곡군 가산면 가산리 635-1 칠곡학생야영장,경상북도 칠곡군 가산면 가산로 891,39853,sea,easycamping,kids,16,1620,36.0499159,128.5975783,,
508,어썸비치,강원도 삼척시 근덕면 초곡리 287-1,강원도 삼척시 근덕면 초곡길 380,25937,lake,caravan,pet,4,406,37.3023131,129.2930224,,
509,우니메이카(연천점),경기도 연천군 중면 합수리 93,경기도 연천군 중면 합내로 458,11004,mountain,camping,family,3,310,38.1558714,127.0625539,,
510,하늘땅카라반,전라북도 무주군 설천면 삼공리 819-5,전라북도 무주군 설천면 구천동로 966-12,55557,river,glamping,couple,9,905,35.9073529,127.7704464,,
511,가반나야영장,경상남도 남해군 창선면 서대리 489-2,경상남도 남해군 창선면 서부로 892-9,52451,sea,easycamping,kids,17,1705,34.8851665,127.9847223,,
512,소똥령 마을관리휴양지 야영장,강원도 고성군 간성읍 장신리 513,강원도 고성군 간성읍 소똥령마을길 32,24741,mountain,camping,family,4,403,38.3304025,128.3783351,,
513,젤코바 캠핑장,경기도 용인시 처인구 양지면 주북리 170-8,경기도 용인시 처인구 양지면 송주로236번길 82-19,17159,river,glamping,couple,3,307,37.2352242,127.2622645,,
514,보성 지중해 야영장,전라남도 보성군 회천면 서당리 35-1,전라남도 보성군 회천면 공룡로 206-42,59468,sea,easycamping,kids,11,1109,34.6933709,127.1437891,,
515,월든캠프,강원도 양양군 손양면 송전리 36-5,강원도 양양군 손양면 송평길 28,25041,lake,caravan,pet,4,404,38.089411,128.6539211,,
516,낭도야영장,전라남도 여수시 화정면 낭도리 573,전라남도 여수시 화정면 여산길 150,59781,mountain,camping,family,11,1112,34.6004796,127.5415697,,
517,오색허브농원 캠핑장,강원도 양양군 서면 가라피리 9,강원도 양양군 서면 송어길 38,25033,river,glamping,couple,4,404,38.0700075,128.5386525,,
518,파머스글램핑,전라북도 고창군 상하면 자룡리 산 1-2 농원사무소,전라북도 고창군 상하면 상하농원길 11-23,56408,lake,caravan,pet,9,901,35.4470341,126.4499192,,
519,금강뷰,충청남도 금산군 제원면 천내리 695,충청남도 금산군 제원면 낙안길 107-13,32720,mountain,camping,family,7,703,36.1148538,127.5806774,,
520,은하수야영캠핑장,충청남도 태안군 소원면 모항리 770-11,충청남도 태안군 소원면 연들길 22,32123,river,glamping,couple,7,702,36.7524805,126.1377923,,
521,진동리국민여가캠핑장 by zapza,강원도 춘천시 동면 장학리 1007-6,강원도 춘천시 동면 춘천순환로 609,24209,sea,easycamping,kids,4,412,37.9075284,127.7582323,,
522,부재산방 야영장,경상남도 창원시 마산합포구 진전면 평암리 254,경상남도 창원시 마산합포구 진전면 미천2길 148 (부재산방),51795,lake,caravan,pet,17,1713,35.151871,128.4071246,,
523,영학관광농원 야영장,경상남도 창원시 마산합포구 진북면 영학리 555 외1필지,경상남도 창원시 마산합포구 진북면 학동로 537-280 (외1필지),51786,mountain,camping,family,17,1713,35.154208,128.4337383,,
524,타이거스피드 안녕오토캠핑장,경상남도 창원시 마산합포구 구산면 옥계리 471-2,경상남도 창원시 마산합포구 구산면 안녕로 329 (외2필지),51779,river,glamping,couple,17,1713,35.1080992,128.6007624,,
525,창원 휴양림 오토 캠핑장,경상남도 창원시 마산합포구 구산면 석곡리 산 104,경상남도 창원시 마산합포구 구산면 석곡로 342-2,51779,sea,easycamping,kids,17,1713,35.1111501,128.5706108,,
526,진북편백골관광농원캠핑장,경상남도 창원시 마산합포구 진북면 금산리 437,경상남도 창원시 마산합포구 진북면 금산길 209-81,51786,lake,caravan,pet,17,1713,35.1544997,128.4440451,,
527,돌담캠핑장,경상남도 창원시 마산합포구 진동면 인곡리 726 외9필지,경상남도 창원시 마산합포구 진동면 입곡길 326 (외9필지),51789,mountain,camping,family,17,1713,35.1358987,128.516796,,
528,산청펫글램핑,경상남도 산청군 금서면 자혜리 443,경상남도 산청군 금서면 화계오봉로 349-35,52228,river,glamping,couple,17,1708,35.4387467,127.7779864,,
529,트리하우스계곡야영장,강원도 홍천군 내촌면 와야리 산 75,강원도 홍천군 내촌면 아홉사리로 1740,25162,sea,easycamping,kids,4,414,37.8213503,128.1452914,,
530,젤리캠핑장,경기도 안산시 단원구 대부남동 1126-77,경기도 안산시 단원구 중우물1길 12 (대부남동),15653,lake,caravan,pet,3,308,37.2300463,126.5802849,,
531,양주 두리캠핑장,경기도 양주시 마전동 183,경기도 양주시 마전로212번길 79-72 (마전동),11496,mountain,camping,family,3,306,37.7790935,127.058613,,
532,새움정,경상북도 예천군 보문면 옥천리 235 감천초등학교옥천분교장,경상북도 예천군 보문면 옥천길 30,36812,river,glamping,couple,16,1616,36.707902,128.558372,,
533,한성연수원 야영장,경상북도 문경시 마성면 하내리 754-1,경상북도 문경시 마성면 하내2길 55,36926,sea,easycamping,kids,16,1607,36.6645325,128.0804478,,
534,대기리 숲속 관광농원,강원도 강릉시 왕산면 대기리 1948,강원도 강릉시 왕산면 바람부리길 69,25642,lake,caravan,pet,4,401,37.5782199,128.7490804,,
535,캠핑소리251,경기도 가평군 설악면 엄소리 25-1,경기도 가평군 설악면 묵안로 350,12470,mountain,camping,family,3,301,37.6413017,127.5109419,,
536,코뿔소글램핑,강원도 평창군 방림면 계촌리 867,강원도 평창군 방림면 삼형제길 279-61,25364,river,glamping,couple,4,413,37.4724188,128.2888476,,
537,배티하우스,경상남도 합천군 쌍책면 사양리 665,경상남도 합천군 쌍책면 황강옥전로 1062-50,50250,sea,easycamping,kids,17,1718,35.6085709,128.2671941,,
538,성보촌 캠핑장,경상북도 문경시 호계면 호계리 23,경상북도 문경시 호계면 상무로 377,36930,lake,caravan,pet,16,1607,36.6457188,128.1944669,,
539,룰루랄라 캠핑장,경기도 용인시 처인구 해곡동 230,경기도 용인시 처인구 동부로729번길 97 (해곡동),17142,mountain,camping,family,3,307,37.1963765,127.2717149,,
540,몽고몽고글램핑,강원도 홍천군 남면 남노일리 235-1,강원도 홍천군 남면 남노일로 1162,25105,river,glamping,couple,4,414,37.6804858,127.7568803,,
541,나주 죽산보 오토캠핑장,전라남도 나주시 다시면 죽산리 123-2,전라남도 나주시 우정로 10 ,58322,sea,easycamping,kids,11,1106,34.9708393,126.62778,,
542,그레이스 글램핑,강원도 춘천시 남산면 강촌리 609-1,강원도 춘천시 남산면 북한강변길 888,24465,lake,caravan,pet,4,412,37.8280659,127.6098139,,
543,푸른산페어웨이,경기도 포천시 영북면 산정리 515-7,경기도 포천시 영북면 산정호수로 359-42,11103,mountain,camping,family,3,302,38.0702704,127.3101165,,
544,아만다글램핑장,경기도 가평군 조종면 운악리 292-2,경기도 가평군 조종면 와곡길 120,12432,sea,easycamping,kids,3,301,37.8178242,127.3532361,,
545,연인산 다목적 캠핑장,경기도 가평군 북면 백둔리 349-5 연인산캠핑장,경기도 가평군 북면 백둔로 441,12406,lake,caravan,pet,3,301,37.901539,127.4613974,,
546,캠프 인디오,강원도 홍천군 동면 후동리 565-1,강원도 홍천군 동면 후동길128번길 53,25153,mountain,camping,family,4,414,37.6474479,127.9302942,,
547,함양라온캠핑장,경상남도 함양군 서하면 황산리 5 황석산청소년수련원,경상남도 함양군 서하면 육십령로 2991,50004,river,glamping,couple,17,1717,35.6253673,127.7738738,,
548,해울림영농조합법인,전라남도 고흥군 금산면 신평리 1001-9,전라남도 고흥군 금산면 평산길 94,59565,sea,easycamping,kids,11,1102,34.490557,127.1768616,,
549,수하 캠핑파크,강원도 홍천군 서석면 수하리 743-3 수하캠핑파크,강원도 홍천군 서석면 행치령로 702,25165,mountain,camping,family,4,414,37.763362,128.1666167,,
550,The하루만캠핑장,충청북도 괴산군 청천면 신월리 130,충청북도 괴산군 청천면 괴산로상신5길 6-10,28064,river,glamping,couple,8,801,36.6344894,127.782401,,
551,여울지숲속캠핑장,경기도 김포시 하성면 석탄리 242-10,경기도 김포시 하성면 오정동로 121-15,10012,sea,easycamping,kids,3,316,37.7268328,126.6449422,,
552,용인 둥지골 캠핑장,경기도 용인시 처인구 원삼면 죽능리 26-47,경기도 용인시 처인구 원삼면 후평로185번길 39,17170,lake,caravan,pet,3,307,37.1361654,127.3285735,,
553,비손관광농원 야영장,경상북도 포항시 북구 청하면 서정리 326-1,경상북도 포항시 북구 청하면 비학로 1889-157,37515,mountain,camping,family,16,1621,36.1978102,129.3177971,,
554,유곡면 농촌체험랜드,경상남도 의령군 유곡면 당동리 404,경상남도 의령군 유곡면 청정로 2278,52113,river,glamping,couple,17,1710,35.4325636,128.3167923,,
555,다둥이네캠핑장,경기도 가평군 북면 화악리 678-1,경기도 가평군 북면 화악산로 636,12402,sea,easycamping,kids,3,301,37.9348093,127.5630439,,
556,시골학교캠핑장,충청북도 제천시 봉양읍 옥전리 180,충청북도 제천시 봉양읍 제원로 653,27106,lake,caravan,pet,8,807,37.1734086,128.1052472,,
557,수산하늘풍경,강원도 인제군 남면 수산리 487,강원도 인제군 남면 무학길 34,24647,sea,easycamping,kids,4,409,37.9727318,128.0187588,,
558,곰취향 가득한 팔랑골 캠핑장,강원도 양구군 동면 팔랑리 1278-1,강원도 양구군 동면 바랑길 34-94,24506,lake,caravan,pet,4,407,38.2109131,128.0585536,,
559,러빙네이쳐,강원도 인제군 남면 부평리 1070-2 38휴게소,강원도 인제군 남면 설악로 1129,24646,mountain,camping,family,4,409,38.0016014,128.1157532,,
560,텐타우스 보문지점,경상북도 경주시 천군동 1579-3,경상북도 경주시 경감로 466-311 (천군동),38118,river,glamping,couple,16,1602,35.8143961,129.2705768,,
561,주전패밀리캠핑장,울산광역시 동구 주전동 714-4,울산광역시 동구 주전해안길 300 (주전동),44013,sea,easycamping,kids,14,1402,35.5517834,129.4549914,,
562,홀리데이캠핑파크,경기도 안산시 단원구 대부북동 1851-2,경기도 안산시 단원구 서위매봉길 14 (대부북동),15638,lake,caravan,pet,3,308,37.258289,126.5731267,,
563,산머루농원캠핑장,경기도 파주시 적성면 객현리 44-3,경기도 파주시 적성면 윗배우니길 441-42,10804,mountain,camping,family,3,309,37.9588659,126.9600921,,
564,일곱식구 캠핑장,전라북도 정읍시 칠보면 시산리 19-1,전라북도 정읍시 칠보면 행단1길 153,56128,river,glamping,couple,9,912,35.5867583,127.0135886,,
565,숲내음카라반캠핑장,전라북도 완주군 상관면 죽림리 628-1,전라북도 완주군 상관면 죽림편백길 143-5,55360,lake,caravan,pet,9,908,35.7415745,127.2075763,,
566,포게더 카라반 <지조개발>,경상남도 거제시 사등면 덕호리 269,경상남도 거제시 사등면 덕호해안길 147-1,53274,mountain,camping,family,17,1701,34.872421,128.4729981,,
567,안림딸기마을 캠핑장,경상북도 고령군 쌍림면 안림리 177-1 안림초등학교,경상북도 고령군 쌍림면 안림천길 19-6,40160,sea,easycamping,kids,16,1603,35.6924665,128.2604309,,
568,레저빌봉산,경상남도 합천군 봉산면 김봉리 418,경상남도 합천군 봉산면 서부로 4344-11,50211,lake,caravan,pet,17,1718,35.6270342,128.0445018,,
569,둥지캠핑장,강원도 화천군 사내면 용담리 111-9,강원도 화천군 사내면 돈내미길 183-39,24152,mountain,camping,family,4,415,38.071121,127.553325,,
570,네이스트 프라이빗 음성,충청북도 음성군 원남면 삼용리 471,충청북도 음성군 원남면 덕생로 167-15,27723,sea,easycamping,kids,8,806,36.8944031,127.5982144,,
571,블루문 오토캠핑,세종특별자치시 연서면 와촌리 806-2,세종특별자치시 연서면 기와말1길 20,30046,lake,caravan,pet,6,601,36.5586834,127.2504473,,
572,갈천힐링캠프,강원도 양양군 서면 갈천리 127-5,강원도 양양군 서면 구룡령로 1103-45,25040,mountain,camping,family,4,404,37.9069646,128.5053342,,
573,호수위의하루,충청북도 충주시 중앙탑면 탑평리 518-19,충청북도 충주시 중앙탑면 반천안길 63,27447,river,glamping,couple,8,810,37.0385992,127.856706,,
574,수입리 캠핑장,경기도 양평군 서종면 수입리 249-3,경기도 양평군 서종면 화서로246번길 22-6,12500,sea,easycamping,kids,3,304,37.640419,127.399049,,
575,매물도야영장,경상남도 통영시 한산면 매죽리 34-13,경상남도 통영시 한산면 당금길 50-9,53097,mountain,camping,family,17,1714,34.6384353,128.5699211,,
576,물의나라 캠핑장,경기도 가평군 조종면 상판리 146,경기도 가평군 조종면 명지산로 475,12431,sea,easycamping,kids,3,301,37.9103426,127.3812699,,
577,안면도스쿨버스캠핑장,충청남도 태안군 안면읍 중장리 1586-1,충청남도 태안군 안면읍 안면대로 3356-1,32168,lake,caravan,pet,7,702,36.4866369,126.3832622,,
578,캠핑소사이어티,경상남도 진주시 내동면 유수리 564-6,경상남도 진주시 내동면 내축로 523,52848,mountain,camping,family,17,1711,35.1290423,128.0225815,,
579,금계관광농원,충청남도 공주시 유구읍 문금리 599,충청남도 공주시 유구읍 문금길 86,32500,river,glamping,couple,7,701,36.6375008,126.9838131,,
580,산내 명수관광농원,경상북도 경주시 산내면 감산리 1278,경상북도 경주시 산내면 장사길 46-17,38185,mountain,camping,family,16,1602,35.7903475,129.0501745,,
581,수승대체험휴양마을,경상남도 거창군 위천면 강천리 99-1,경상남도 거창군 위천면 원학길 410,50103,river,glamping,couple,17,1702,35.7527858,127.8309752,,
582,평창 자연속쉼표캠핑장,강원도 평창군 봉평면 흥정리 95-3,강원도 평창군 봉평면 흥정계곡4길 171-10,25300,sea,easycamping,kids,4,413,37.6568629,128.3085988,,
583,글램핑로망,대구광역시 달성군 옥포읍 김흥리 973,대구광역시 달성군 옥포읍 옥포로111길 85-6,42977,lake,caravan,pet,12,1202,35.7413347,128.4948808,,
584,강가민박캠핑장,경상남도 거창군 북상면 농산리 601-1,경상남도 거창군 북상면 덕유월성로 2123-15,50101,river,glamping,couple,17,1702,35.7799871,127.8001065,,
585,김삿갓삿갓 쉼터,강원도 영월군 김삿갓면 각동리 126-20,강원도 영월군 김삿갓면 강변로 1390,26245,sea,easycamping,kids,4,420,37.1135661,128.5296202,,
586,아띠캠핑장,경기도 연천군 군남면 삼거리 597,경기도 연천군 군남면 군남로 373,11006,lake,caravan,pet,3,310,38.0811895,127.0169545,,
587,우이동 가족캠핑장,서울특별시 강북구 우이동 317 우이동 가족캠핑장 방문자센터,서울특별시 강북구 삼양로181길 28,1000,mountain,camping,family,1,103,37.6653563,127.011749,,
588,달숲스테이,충청북도 제천시 금성면 월림리 16-2,충청북도 제천시 금성면 산곡3길 151,27208,river,glamping,couple,8,807,37.088359,128.1888709,,
589,문두리 캠핑장,경상북도 경주시 산내면 대현리 2747-221,경상북도 경주시 산내면 문복로 333-42,38187,lake,caravan,pet,16,1602,35.6636568,129.0536464,,
590,천안밤나무골가족캠핑농원,충청남도 천안시 서북구 성거읍 송남리 산 40,충청남도 천안시 서북구 성거읍 보명사길 74-13,31046,sea,easycamping,kids,7,712,36.8598818,127.1999584,,
591,두바퀴로 가는 자동차 관광농원,경상북도 경주시 산내면 신원리 647,경상북도 경주시 산내면 외칠일부길 278-182,38186,lake,caravan,pet,16,1602,35.7540323,129.0009176,,
592,오래캠핑장,경기도 가평군 북면 소법리 137-2번지,경기도 가평군 북면 화악산로 233,12404,mountain,camping,family,3,301,37.9022363,127.5595136,,
593,HJ글램핑,경기도 포천시 이동면 도평리 512-4,경기도 포천시 이동면 금강로 6169,11110,river,glamping,couple,3,302,38.0757063,127.4032977,,
594,경주 더숲 관광농원,경상북도 경주시 내남면 명계리 485-2,경상북도 경주시 내남면 내외로 731-107,38198,sea,easycamping,kids,16,1602,35.7089924,129.2566036,,
595,옥계마을회영농조합법인,경상남도 거제시 하청면 연구리 414-9,경상남도 거제시 하청면 칠천로 265-17,53203,lake,caravan,pet,17,1701,34.9784998,128.6303448,,
596,스톤힐,경상남도 거제시 수월동 122-12,경상남도 거제시 수양1길 92-5 (수월동),53240,mountain,camping,family,17,1701,34.8917931,128.6546495,,
597,풍혈산 캠핑장,경기도 포천시 일동면 수입리 903번지,경기도 포천시 일동면 성장로 397,11115,river,glamping,couple,3,302,38.0142428,127.2953896,,
598,썬오브캠핑장,경기도 포천시 이동면 도평리 538-6,경기도 포천시 이동면 금강로6263번길 14,11110,lake,caravan,pet,3,302,38.0757063,127.4032977,,
599,명성산글램핑,경기도 포천시 영북면 산정리 390-4번지,경기도 포천시 영북면 산정호수로 1017,11103,mountain,camping,family,3,302,38.0900273,127.3197428,,
600,포천 자연마을 서울캠핑장,경기도 포천시 관인면 사정리 136-1번지,경기도 포천시 관인면 북원로 371-115,11101,river,glamping,couple,3,302,38.1235798,127.2534535,,
601,맑은물소리 캠핑장,경기도 포천시 관인면 삼율리 6,경기도 포천시 관인면 담터길 123,11100,sea,easycamping,kids,3,302,38.1483128,127.206664,,
602,나무다 캠핑장,경기도 포천시 신북면 심곡리 763 외 1필지(769-1),경기도 포천시 신북면 깊이울로 167,11136,lake,caravan,pet,3,302,37.9227054,127.1723578,,
603,대청마루 물소리,경기도 포천시 관인면 삼율리 10번지 외 1필지(493번지),경기도 포천시 관인면 담터길 239,11100,river,glamping,couple,3,302,38.1556884,127.1982158,,
604,깊이울 달빛 캠핑장,경기도 포천시 신북면 심곡리 734-3,경기도 포천시 신북면 깊이울로 204,11136,sea,easycamping,kids,3,302,37.9213966,127.1690786,,
605,사랑나무 캠핑장,강원도 영월군 김삿갓면 내리 87,강원도 영월군 김삿갓면 내리계곡로 131-12,26247,mountain,camping,family,4,420,37.0779437,128.7082094,,
606,영월천문대 캠핑장,강원도 영월군 북면 연덕리 931번지,강원도 영월군 북면 사만길 173,26208,river,glamping,couple,4,420,37.2635863,128.4099912,,
607,영월키즈캠핑장,강원도 영월군 무릉도원면 법흥리 181,강원도 영월군 무릉도원면 무릉법흥로 1208-7,26201,sea,easycamping,kids,4,420,37.3641271,128.2733673,,
608,아날로거 무릉도원점,강원도 영월군 무릉도원면 무릉리 608-2,강원도 영월군 무릉도원면 아래골길 10,26201,lake,caravan,pet,4,420,37.2924942,128.2750535,,
609,호식이 캠핑장,강원도 영월군 주천면 판운리 714-6번지,강원도 영월군 주천면 중선로 215,26202,mountain,camping,family,4,420,37.3115479,128.318627,,
610,남강 캠프,강원도 영월군 무릉도원면 법흥리 89-9번지,강원도 영월군 무릉도원면 무릉법흥로 1050-16,26201,river,glamping,couple,4,420,37.350179,128.2798996,,
611,두산분교 캠핑장,강원도 영월군 무릉도원면 두산리 453-3번지,강원도 영월군 무릉도원면 두산길 237-4,26200,sea,easycamping,kids,4,420,37.3080162,128.1704926,,
612,달과별 캠핑장,강원도 영월군 상동읍 덕구리 18,강원도 영월군 상동읍 덕구로 432-25,26248,lake,caravan,pet,4,420,37.095083,128.8108591,,
613,새막골 캠프,강원도 영월군 무릉도원면 두산리 304-1번지,강원도 영월군 무릉도원면 새막골길 72-115,26200,mountain,camping,family,4,420,37.3237241,128.1786364,,
614,느티나무 캠핑장,강원도 영월군 김삿갓면 내리 474,강원도 영월군 김삿갓면 내리계곡로 1061,26247,river,glamping,couple,4,420,37.0779437,128.7082094,,
615,뜨란솔 캠핑장,강원도 영월군 무릉도원면 법흥리 625-1번지,강원도 영월군 무릉도원면 무릉법흥로 782-26,26201,sea,easycamping,kids,4,420,37.3317951,128.2766288,,
616,보보스캇 캠핑장,강원도 영월군 주천면 판운리 463,강원도 영월군 주천면 미다리길 50-24,26202,lake,caravan,pet,4,420,37.2913138,128.3264344,,
617,정든 캠핑장,강원도 영월군 무릉도원면 법흥리 712번지,강원도 영월군 무릉도원면 무릉법흥로 644-9,26201,mountain,camping,family,4,420,37.3249052,128.2636353,,
618,꿈엔들 캠프장,강원도 영월군 무릉도원면 법흥리 51,강원도 영월군 무릉도원면 무릉법흥로 968-12,26201,river,glamping,couple,4,420,37.3428027,128.2809636,,
619,서종 힐링캠핑장,경기도 양평군 서종면 노문리 465,경기도 양평군 서종면 화서로 532-6,12500,sea,easycamping,kids,3,304,37.6478035,127.4262728,,
620,양평 드림캠핑장,경기도 양평군 용문면 금곡리 231-12 외 13필지,경기도 양평군 용문면 갈지길41번길 52,12513,lake,caravan,pet,3,304,37.5004233,127.623111,,
621,스마일 캠핑장,경기도 양평군 단월면 석산리 148-1,경기도 양평군 단월면 석산로 1539-2,12525,mountain,camping,family,3,304,37.6463879,127.6163846,,
622,플라워 카라반 펜션,경기도 양평군 단월면 석산리 148-7 148-5,경기도 양평군 단월면 석산로 1543-9,12525,river,glamping,couple,3,304,37.6463879,127.6163846,,
623,양평맑은숲캠핑장,경기도 양평군 청운면 다대리 산 45-2,경기도 양평군 청운면 오목골길 33,12531,sea,easycamping,kids,3,304,37.5636853,127.7325533,,
624,솔뜰,경기도 양평군 옥천면 신복리 424-1,경기도 양평군 옥천면 사기점길 45,12505,mountain,camping,family,3,304,37.5410604,127.4675792,,
625,배너미오토캠핑장,경상북도 청도군 운문면 신원리 32번지,경상북도 청도군 운문면 운문로 1051,38368,sea,easycamping,kids,16,1619,35.6658315,129.0026839,,
626,I go,경상북도 청도군 매전면 호화리 752-78,경상북도 청도군 매전면 온장길 123-46,38356,lake,caravan,pet,16,1619,35.643378,128.850326,,
627,국립운문산자연휴양림 야영장,경상북도 청도군 운문면 신원리 산 29-6번지,경상북도 청도군 운문면 운문로 763,38368,mountain,camping,family,16,1619,35.6534002,129.0187167,,
628,포천계곡캠핑장,경기도 포천시 이동면 도평리 542-1,경기도 포천시 이동면 금강로 6304,11110,sea,easycamping,kids,3,302,38.0757063,127.4032977,,
629,호반 캠핑장,강원도 춘천시 신동 970-1,강원도 춘천시 영서로 3189 (신동),24207,lake,caravan,pet,4,412,37.9339721,127.7178084,,
630,YELLOW HILL,강원도 춘천시 동산면 군자리 1020,강원도 춘천시 동산면 종자리로 224-24,24409,mountain,camping,family,4,412,37.7499089,127.7335481,,
631,강촌버즈글램핑(강촌팜핑),강원도 춘천시 서면 안보리 403,강원도 춘천시 서면 율장길 122-28,24463,river,glamping,couple,4,412,37.8497311,127.5807137,,
632,춘천하늘캠핑장,강원도 춘천시 서면 방동리 981,강원도 춘천시 서면 방동1길 315,24460,sea,easycamping,kids,4,412,37.9128188,127.6563897,,
