번호,사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,상세코드,위도,경도,COL1,COL2
193,부싯돌 캠핑,충청남도 천안시 동남구 북면 양곡리 262-1,충청남도 천안시 동남구 북면 양곡1길 233-40,31237,mountain,camping,family,7,712,36.8523494,127.2854706,,
194,어은돌송림캥핑장,충청남도 태안군 소원면 파도리 543-572,충청남도 태안군 소원면 모항파도로 398-42,32124,sea,easycamping,kids,7,702,36.7430352,126.1488551,,
195,썬오브글램핑,경기도 포천시 이동면 도평리 538-7,경기도 포천시 이동면 금강로6263번길 14-2,11110,lake,caravan,pet,3,302,38.0757063,127.4032977,,
196,양평온누리캠핑장,경기도 양평군 서종면 노문리 439,경기도 양평군 서종면 갈문길 29-1,12500,river,glamping,couple,3,304,37.6471395,127.433569,,
197,여수경도펜션카라반,전라남도 여수시 경호동 234-1 내경도교회,전라남도 여수시 대경도5길 25-8,59766,sea,easycamping,kids,11,1112,34.7085275,127.7216863,,
198,아린 글램핑,경기도 가평군 설악면 회곡리 361-1,경기도 가평군 설악면 유명로 2150-14,12459,lake,caravan,pet,3,301,37.6989641,127.459495,,
199,휘명빌리지,경상북도 영천시 신녕면 연정리 1030,경상북도 영천시 신녕면 신화로 120,38803,river,glamping,couple,16,1615,36.0459489,128.8007587,,
200,사계오토캠핑장,경상북도 포항시 남구 구룡포읍 석병리 794-15,경상북도 포항시 남구 구룡포읍 일출로 203-20,37930,sea,easycamping,kids,16,1621,36.0122274,129.5757699,,
201,Forest Healing Camp,충청북도 단양군 가곡면 대대리 494,충청북도 단양군 가곡면 새밭로 240-1,27023,river,glamping,couple,8,802,37.0083107,128.4052396,,
202,해가빛 캠핑장,충청남도 서천군 서면 신합리 530-233,충청남도 서천군 서면 갯벌체험로 56-14,33602,sea,easycamping,kids,7,709,36.1465766,126.548498,,
203,G-Men 카라반파크,경기도 안양시 만안구 석수동 241-44 안양블루몬테 수영장,경기도 안양시 만안구 예술공원로 213 (석수동),13911,lake,caravan,pet,3,324,37.4210476,126.9292713,,
204,캠앤캠아지트,경상남도 밀양시 단장면 구천리 1381-29,경상남도 밀양시 단장면 구천1길 9-16,50418,river,glamping,couple,17,1706,35.5396576,128.9227132,,
205,엄둔밸리 캠핑장,강원도 영월군 무릉도원면 도원리 704,강원도 영월군 무릉도원면 엄둔길 145,26201,lake,caravan,pet,4,420,37.3098382,128.2347294,,
206,제천J글램핑,충청북도 제천시 백운면 운학리 445-5,충청북도 제천시 백운면 운학길 326-9,27102,mountain,camping,family,8,807,37.2270157,127.9983345,,
207,은이골농원,경기도 용인시 처인구 양지면 남곡리 759,경기도 용인시 처인구 양지면 은이로 282,17161,sea,easycamping,kids,3,307,37.2058676,127.2780045,,
208,한반도 솔숲 쉼터,강원도 영월군 한반도면 광전리 599번지,강원도 영월군 한반도면 서강로 1159-93,26211,lake,caravan,pet,4,420,37.2504331,128.367584,,
209,연천 전곡리유적 구석기 체험숲,경기도 연천군 전곡읍 전곡리 183번지,경기도 연천군 전곡읍 평화로495번길 89,11027,sea,easycamping,kids,3,310,38.0127123,127.0656794,,
210,가평글램트리리조트,경기도 가평군 상면 상동리 산 36-12,경기도 가평군 상면 돌아우길 75,12443,lake,caravan,pet,3,301,37.7861028,127.3214483,,
211,안목커피거리카라반캠핑,강원도 강릉시 견소동 133-1번지 안목커피거리카라반캠핑,강원도 강릉시 경강로 2643 (견소동),25556,mountain,camping,family,4,401,37.7714068,128.9479309,,
212,자연카라반 캠핑장,경상북도 청도군 청도읍 구미리 60-1번지,경상북도 청도군 청도읍 구미길 101,38347,sea,easycamping,kids,16,1619,35.6325151,128.7609701,,
213,부례관광지,경상북도 고령군 우곡면 예곡리 97 부례 관광지,경상북도 고령군 우곡면 우곡강변길 672,40153,river,glamping,couple,16,1603,35.6728733,128.3602522,,
